epoch,stratified_transformer_miou,stratified_transformer_oa,,,,,,,,,,,,,,
1,0.4550 ,0.6062 ,,,,,,,,,,,,,,
2,0.5641 ,0.6973 ,,,,,,,,,,,,,,
3,0.7386 ,0.8432 ,,,,,,,,,,,,,,
4,0.8562 ,0.9198 ,,,,,,,,,,,,,,
5,0.9177 ,0.9553 ,,,,,,,,,,,,,,
6,0.9464 ,0.9703 ,,,,,,,,,,,,,,
7,0.9481 ,0.9758 ,,,,,,,,,,,,,,
8,0.9425 ,0.9662 ,,,,,,,,,,,,,,
9,0.9336 ,0.9628 ,,,,,,,,,,,,,,
10,0.9482 ,0.9726 ,,,,,,,,,,,,,,
11,0.9491 ,0.9694 ,,,,,,,,,,,,,,
12,0.9640 ,0.9820 ,,,,,,,,,,,,,,
13,0.9629 ,0.9788 ,,,,,,,,,,,,,,
14,0.9697 ,0.9864 ,,,,,,,,,,,,,,
15,0.9315 ,0.9624 ,,,,,,,,,,,,,,
16,0.9423 ,0.9686 ,,,,,,,,,,,,,,
17,0.9641 ,0.9819 ,,,,,,,,,,,,,,
18,0.9602 ,0.9791 ,,,,,,,,,,,,,,
19,0.9725 ,0.9844 ,,,,,,,,,,,,,,
20,0.9614 ,0.9805 ,,,,,,,,,,,,,,
21,0.9732 ,0.9879 ,,,,,,,,,,,,,,
22,0.9629 ,0.9806 ,,,,,,,,,,,,,,
23,0.9709 ,0.9838 ,,,,,,,,,,,,,,
24,0.9674 ,0.9818 ,,,,,,,,,,,,,,
25,0.9644 ,0.9792 ,,,,,,,,,,,,,,
26,0.9560 ,0.9765 ,,,,,,,,,,,,,,
27,0.9515 ,0.9757 ,,,,,,,,,,,,,,
28,0.9481 ,0.9728 ,,,,,,,,,,,,,,
29,0.9677 ,0.9825 ,,,,,,,,,,,,,,
30,0.9774 ,0.9876 ,,,,,,,,,,,,,,
31,0.9639 ,0.9796 ,,,,,,,,,,,,,,
32,0.9684 ,0.9839 ,,,,,,,,,,,,,,
33,0.9738 ,0.9852 ,,,,,,,,,,,,,,
34,0.9770 ,0.9882 ,,,,,,,,,,,,,,
35,0.9748 ,0.9863 ,,,,,,,,,,,,,,
36,0.9744 ,0.9853 ,,,,,,,,,,,,,,
37,0.9698 ,0.9830 ,,,,,,,,,,,,,,
38,0.9725 ,0.9848 ,,,,,,,,,,,,,,
39,0.9737 ,0.9862 ,,,,,,,,,,,,,,
40,0.9754 ,0.9870 ,,,,,,,,,,,,,,
41,0.9820 ,0.9910 ,,,,,,,,,,,,,,
42,0.9767 ,0.9875 ,,,,,,,,,,,,,,
43,0.9793 ,0.9897 ,,,,,,,,,,,,,,
44,0.9788 ,0.9888 ,,,,,,,,,,,,,,
45,0.9783 ,0.9882 ,,,,,,,,,,,,,,
46,0.9760 ,0.9868 ,,,,,,,,,,,,,,
47,0.9781 ,0.9882 ,,,,,,,,,,,,,,
48,0.9743 ,0.9864 ,,,,,,,,,,,,,,
49,0.9818 ,0.9912 ,,,,,,,,,,,,,,
50,0.9772 ,0.9874 ,,,,,,,,,,,,,,
51,0.9810 ,0.9904 ,,,,,,,,,,,,,,
52,0.9813 ,0.9899 ,,,,,,,,,,,,,,
53,0.9777 ,0.9881 ,,,,,,,,,,,,,,
54,0.9825 ,0.9914 ,,,,,,,,,,,,,,
55,0.9778 ,0.9873 ,,,,,,,,,,,,,,
56,0.9771 ,0.9878 ,,,,,,,,,,,,,,
57,0.9758 ,0.9869 ,,,,,,,,,,,,,,
58,0.9788 ,0.9897 ,,,,,,,,,,,,,,
59,0.9786 ,0.9887 ,,,,,,,,,,,,,,
60,0.9824 ,0.9913 ,,,,,,,,,,,,,,
61,0.9808 ,0.9901 ,,,,,,,,,,,,,,
62,0.9789 ,0.9891 ,,,,,,,,,,,,,,
63,0.9660 ,0.9831 ,,,,,,,,,,,,,,
64,0.9775 ,0.9871 ,,,,,,,,,,,,,,
65,0.9817 ,0.9906 ,,,,,,,,,,,,,,
66,0.9758 ,0.9867 ,,,,,,,,,,,,,,
67,0.9794 ,0.9888 ,,,,,,,,,,,,,,
68,0.9813 ,0.9903 ,,,,,,,,,,,,,,
69,0.9810 ,0.9897 ,,,,,,,,,,,,,,
70,0.9800 ,0.9892 ,,,,,,,,,,,,,,
71,0.9791 ,0.9887 ,,,,,,,,,,,,,,
72,0.9865 ,0.9929 ,,,,,,,,,,,,,,
73,0.9846 ,0.9919 ,,,,,,,,,,,,,,
74,0.9712 ,0.9857 ,,,,,,,,,,,,,,
75,0.9832 ,0.9911 ,,,,,,,,,,,,,,
76,0.9810 ,0.9890 ,,,,,,,,,,,,,,
77,0.9807 ,0.9900 ,,,,,,,,,,,,,,
78,0.9878 ,0.9942 ,,,,,,,,,,,,,,
79,0.9832 ,0.9919 ,,,,,,,,,,,,,,
80,0.9793 ,0.9887 ,,,,,,,,,,,,,,
81,0.9772 ,0.9872 ,,,,,,,,,,,,,,
82,0.9836 ,0.9915 ,,,,,,,,,,,,,,
83,0.9830 ,0.9907 ,,,,,,,,,,,,,,
84,0.9741 ,0.9860 ,,,,,,,,,,,,,,
85,0.9818 ,0.9903 ,,,,,,,,,,,,,,
86,0.9845 ,0.9920 ,,,,,,,,,,,,,,
87,0.9824 ,0.9908 ,,,,,,,,,,,,,,
88,0.9807 ,0.9898 ,,,,,,,,,,,,,,
89,0.9837 ,0.9913 ,,,,,,,,,,,,,,
90,0.9801 ,0.9890 ,,,,,,,,,,,,,,
91,0.9827 ,0.9911 ,,,,,,,,,,,,,,
92,0.9821 ,0.9906 ,,,,,,,,,,,,,,
93,0.9808 ,0.9898 ,,,,,,,,,,,,,,
94,0.9822 ,0.9907 ,,,,,,,,,,,,,,
95,0.9797 ,0.9895 ,,,,,,,,,,,,,,
96,0.9875 ,0.9939 ,,,,,,,,,,,,,,
97,0.9823 ,0.9905 ,,,,,,,,,,,,,,
98,0.9823 ,0.9906 ,,,,,,,,,,,,,,
99,0.9726 ,0.9858 ,,,,,,,,,,,,,,
100,0.9818 ,0.9905 ,,,,,,,,,,,,,,
